                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0019,                 3.9495,                  1.486,                      1,                  0.125,                0.47043,                0.46927,                0.64773,                 4.3904,                 1.1441,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                0.93329,                 2.6063,                 1.4437,                0.38691,                  0.425,                0.29735,                0.18065,                 1.4648,                  20.49,                  2.038,             0.00016599,             0.00016599,             0.00016599
                      3,                 1.0041,                 2.2277,                 1.4479,                0.46602,                 0.5625,                0.27956,                0.12416,                 2.2434,                 10.318,                 2.9719,             0.00025351,             0.00025351,             0.00025351
                      4,                0.99789,                 2.1188,                 1.4338,                0.63333,                  0.375,                0.27763,                 0.1576,                 1.7436,                 53.393,                 2.9457,             0.00034032,             0.00034032,             0.00034032
                      5,                 1.1434,                 2.2241,                 1.5713,                0.01014,                   0.25,                0.03449,                0.00919,                 2.4773,                    inf,                  5.664,             0.00042643,             0.00042643,             0.00042643
                      6,                 1.2889,                   2.17,                 1.6497,                0.25504,                 0.0625,                0.00262,                0.00172,                 3.0413,                    inf,                 88.038,             0.00051183,             0.00051183,             0.00051183
                      7,                 1.4132,                 2.3505,                 1.7688,                0.25504,                 0.0625,                0.00262,                0.00172,                 3.7897,                    inf,                 228.79,             0.00059653,             0.00059653,             0.00059653
                      8,                 1.3572,                  2.211,                 1.7347,                0.25504,                 0.0625,                0.00262,                0.00172,                 4.6891,                    inf,                 369.14,             0.00068053,             0.00068053,             0.00068053
                      9,                 1.5728,                 2.5295,                 1.9049,                0.25504,                 0.0625,                0.00262,                0.00172,                    nan,                    nan,                    nan,             0.00076382,             0.00076382,             0.00076382
                     10,                 1.5806,                 2.3828,                 1.8939,                0.25504,                 0.0625,                0.00262,                0.00172,                    nan,                    nan,                    nan,             0.00084641,             0.00084641,             0.00084641
                     11,                 1.7645,                 2.5736,                  2.034,                0.25504,                 0.0625,                0.00262,                0.00172,                    nan,                    nan,                    nan,             0.00092829,             0.00092829,             0.00092829
                     12,                 1.5394,                 2.4897,                 1.8526,                0.00671,                 0.1875,                0.00342,                0.00114,                 3.6387,                    inf,                 13.758,              0.0010095,              0.0010095,              0.0010095
                     13,                 1.5992,                 2.4996,                 1.8967,                0.50069,                 0.0625,                0.00049,                0.00015,                 3.4195,                    inf,                 8.5152,              0.0010582,              0.0010582,              0.0010582
                     14,                 1.6042,                  2.393,                 1.9179,                0.00463,                   0.25,                0.00387,                0.00097,                 3.6576,                 529.07,                 6.8675,              0.0010582,              0.0010582,              0.0010582
                     15,                 1.5296,                 2.4352,                 1.8392,                 0.0723,                   0.05,                 0.0197,                0.01082,                 3.3801,                 225.71,                 8.0873,              0.0010538,              0.0010538,              0.0010538
                     16,                 1.4219,                 2.1502,                 1.7824,                0.29297,                   0.25,                0.05946,                0.01574,                 3.3597,                 90.132,                 7.8813,              0.0010494,              0.0010494,              0.0010494
                     17,                 1.6247,                 2.4168,                 1.8701,                0.59235,                   0.25,                0.11556,                0.04458,                 2.9927,                 16.226,                  4.736,               0.001045,               0.001045,               0.001045
                     18,                 1.4196,                 2.1479,                 1.7219,                 0.3148,                 0.3125,                 0.0448,                0.02166,                 2.6526,                  25.84,                 3.9737,              0.0010406,              0.0010406,              0.0010406
                     19,                 1.4142,                 2.1702,                 1.7383,                0.05406,                    0.3,                0.04771,                0.01642,                 2.1166,                 43.498,                 4.2723,              0.0010362,              0.0010362,              0.0010362
                     20,                 1.4735,                 2.1372,                 1.7443,                 0.0229,                  0.125,                0.02839,                0.00506,                 2.5599,                 16.517,                 5.2892,              0.0010318,              0.0010318,              0.0010318
                     21,                 1.4654,                  2.171,                 1.7681,                0.53509,                 0.0625,                0.06803,                0.01224,                 3.0804,                 7.8534,                  5.127,              0.0010274,              0.0010274,              0.0010274
                     22,                  1.339,                 2.1048,                 1.6473,                0.18559,                  0.375,                0.34035,                0.09999,                  2.285,                 17.763,                  3.134,               0.001023,               0.001023,               0.001023
                     23,                 1.3548,                 1.9501,                 1.6518,                0.34364,                   0.55,                0.25104,                0.07494,                 2.4307,                 13.009,                 3.5546,              0.0010186,              0.0010186,              0.0010186
                     24,                 1.4445,                 2.0767,                 1.7501,                0.68146,                    0.5,                0.42577,                0.18338,                 1.9309,                 7.0432,                 2.4987,              0.0010142,              0.0010142,              0.0010142
                     25,                 1.3773,                 2.0248,                 1.6872,                0.49636,                    0.5,                 0.3007,                0.14963,                 1.9396,                 8.4935,                  2.739,              0.0010098,              0.0010098,              0.0010098
                     26,                 1.3807,                 1.9419,                 1.6756,                0.50248,                0.48845,                 0.3575,                0.23173,                   1.82,                 6.1033,                 2.3506,              0.0010054,              0.0010054,              0.0010054
                     27,                 1.3739,                 1.9583,                 1.6897,                0.11424,                  0.375,                0.25632,                0.16344,                 1.7745,                 9.7428,                 2.2665,               0.001001,               0.001001,               0.001001
                     28,                 1.3339,                 1.8957,                 1.6705,                0.35439,                 0.4785,                0.43233,                0.28798,                 1.8538,                 5.2942,                 2.2776,             0.00099661,             0.00099661,             0.00099661
                     29,                 1.3212,                 1.8285,                 1.6308,                0.06367,                  0.675,                0.17907,                0.09567,                 1.7332,                 49.721,                  2.272,             0.00099221,             0.00099221,             0.00099221
                     30,                 1.2253,                 1.8103,                 1.5506,                  0.096,                  0.375,                0.21328,                0.06939,                 1.6172,                 43.984,                 2.2269,             0.00098781,             0.00098781,             0.00098781
                     31,                  1.263,                 1.7563,                 1.6061,                0.66574,                 0.4375,                0.33054,                0.15817,                 2.1181,                 3.9085,                  2.827,             0.00098341,             0.00098341,             0.00098341
                     32,                 1.1961,                 1.6535,                 1.5201,                0.82595,                0.42491,                0.49197,                0.30782,                 1.7426,                  3.157,                 2.6116,             0.00097901,             0.00097901,             0.00097901
                     33,                 1.2544,                 1.6363,                 1.5954,                0.77986,                 0.5625,                0.61668,                0.43205,                 1.3696,                 2.2687,                 1.8706,             0.00097461,             0.00097461,             0.00097461
                     34,                 1.1498,                 1.6402,                 1.5118,                0.49578,                0.53981,                0.51609,                0.30766,                 1.4336,                 2.3151,                 1.8617,             0.00097021,             0.00097021,             0.00097021
                     35,                   1.31,                 1.7639,                 1.6281,                0.46444,                0.47207,                0.43934,                0.23389,                 1.5829,                 2.9177,                 2.0075,             0.00096581,             0.00096581,             0.00096581
                     36,                 1.1607,                 1.5876,                 1.5153,                 0.4203,                0.41345,                0.39105,                0.24622,                 1.7531,                 3.0525,                 2.4479,             0.00096141,             0.00096141,             0.00096141
                     37,                 1.0997,                 1.4997,                 1.4855,                0.76172,                 0.4375,                0.57061,                0.37619,                 1.2874,                 2.6002,                 1.8175,             0.00095702,             0.00095702,             0.00095702
                     38,                  1.166,                 1.6732,                 1.4986,                0.88344,                0.62494,                0.65458,                0.41172,                  1.524,                 2.1937,                 2.0013,             0.00095262,             0.00095262,             0.00095262
                     39,                 1.1068,                  1.455,                 1.4521,                 0.3748,                0.74859,                0.57775,                 0.3782,                 1.4817,                 1.7356,                 2.1518,             0.00094822,             0.00094822,             0.00094822
                     40,                 1.0412,                 1.3222,                 1.4063,                0.49257,                  0.725,                0.64842,                0.37551,                 1.4327,                  1.801,                 1.8658,             0.00094382,             0.00094382,             0.00094382
                     41,                 1.1154,                 1.5206,                 1.4393,                0.43306,                0.75497,                0.61435,                0.31828,                 1.5353,                 1.8401,                 1.9761,             0.00093942,             0.00093942,             0.00093942
                     42,                  1.103,                 1.4329,                 1.4624,                0.68001,                0.63876,                0.67172,                0.41106,                 1.4327,                 1.8758,                 1.8676,             0.00093502,             0.00093502,             0.00093502
                     43,                 1.1318,                 1.4803,                  1.478,                 0.8667,                0.60374,                0.74379,                0.51666,                 1.1475,                 1.7735,                 1.6553,             0.00093062,             0.00093062,             0.00093062
                     44,                 1.0369,                 1.3297,                 1.3987,                0.97653,                  0.625,                0.72658,                0.51703,                 1.2956,                 2.0729,                 1.7813,             0.00092622,             0.00092622,             0.00092622
                     45,                 1.0328,                 1.3645,                 1.4013,                0.71796,                0.45134,                0.65769,                0.33304,                  1.703,                 2.7537,                 2.3661,             0.00092182,             0.00092182,             0.00092182
                     46,                0.94263,                 1.2797,                 1.3606,                0.84566,                0.54209,                0.67801,                0.41183,                 1.3924,                 2.5889,                 2.0287,             0.00091742,             0.00091742,             0.00091742
                     47,                 1.0989,                 1.5017,                 1.4513,                0.66795,                 0.6645,                0.64269,                0.38835,                 1.4349,                 2.5633,                 1.9927,             0.00091302,             0.00091302,             0.00091302
